Row Number,Institution Name ,Location ,State,Region,Effective Date ,Estimated Loss
1,HARTFORD-CARLISLE SB,"CARLISLE, IA",IA,Central,1/14/2000,"11,574,000"
2,MUTUAL FEDERAL SAVINGS BANK OF ATLANTA,"ATLANTA, GA",GA,South,3/10/2000,"1,322,000"
3,MONUMENT NATIONAL BANK,"RIDGECREST, CA",CA,West,6/2/2000,"617,000"
4,TOWN & COUNTRY BANK OF ALMELUND,"ALMELUND, MN",MN,Central,7/14/2000,"1,363,000"
5,BANK OF FALKNER,"FALKNER, MS",MS,South,9/29/2000,"14,592,000"
6,BANK OF HONOLULU,"HONOLULU, HI",HI,West,10/13/2000,"400,000"
7,NATIONAL STATE BANK OF METROPOLIS,"METROPOLIS, IL",IL,Central,12/14/2000,"2,670,000"
8,FIRST ALLIANCE BANK AND TRUST CO,"MANCHESTER, NH",NH,East,2/2/2001,"817,000"
9,MALTA NATIONAL BANK,"MALTA, OH",OH,East,5/3/2001,"769,000"
10,"SUPERIOR BANK, FSB","HINSDALE, IL",IL,Central,7/27/2001,"286,673,000"
11,SINCLAIR NATIONAL BANK,"GRAVETTE, AR",AR,South,9/7/2001,"4,206,000"
12,"HAMILTON BANK, NATIONAL ASSOCIATION","MIAMI, FL",FL,South,1/11/2002,"101,748,000"
13,BANK OF SIERRA BLANCA,"SIERRA BLANCA, TX",TX,Central,1/18/2002,"4,574,000"
14,OAKWOOD DEPOSIT BANK,"OAKWOOD, OH",OH,East,2/1/2002,"63,600,000"
15,NEXTBANK,"PHOENIX, AZ",AZ,West,2/7/2002,"164,047,000"
16,NET FIRST NATIONAL BANK,"BOCA RATON, FL",FL,South,3/1/2002,0
17,NEW CENTURY BANK,"SHELBY TOWNSHIP, MI",MI,Central,3/28/2002,"4,440,000"
18,CONNECTICUT BANK OF COMMERCE,"STAMFORD, CT",CT,East,6/26/2002,"53,784,000"
19,UNIVERSAL FSB,"CHICAGO, IL",IL,Central,6/27/2002,"274,000"
20,AMTRADE INTERNATIONAL BANK OF GEORGIA,"ATLANTA, GA",GA,South,9/30/2002,"1,326,000"
21,BANK OF ALAMO,"ALAMO, TN",TN,South,11/8/2002,"9,316,000"
22,THE FARMERS BANK & TRUST OF CHENEYVILLE,"CHENEYVILLE, LA",LA,South,12/17/2002,"12,205,000"
23,SOUTHERN PACIFIC BANK,"TORRANCE, CA",CA,West,2/7/2003,"49,179,000"
24,THE FIRST NATIONAL BANK OF BLANCHARDVILLE,"BLANCHARDVILLE, WI",WI,Central,5/9/2003,"12,788,000"
25,PULASKI SAVINGS BANK,"PHILADELPHIA, PA",PA,East,11/14/2003,"679,000"
26,DOLLAR SAVINGS BANK,"NEWARK, NJ",NJ,East,2/14/2004,0
27,GUARANTY NATIONAL BANK,"TALLAHASSEE, FL",FL,South,3/12/2004,0
28,RELIANCE BANK,"WHITE PLAINS, NY",NY,East,3/19/2004,"919,000"
29,BANK OF EPHRAIM,"EPHRAIM, UT",UT,West,6/25/2004,"2,998,000"
30,METROPOLITAN SAVINGS BANK,"PITTSBURGH, PA",PA,East,2/2/2007,"9,438,000"
31,NETBANK,"ALPHARETTA, GA",GA,South,9/28/2007,"124,019,000"
32,MIAMI VALLEY BANK,"LAKEVIEW, OH",OH,East,10/4/2007,"28,394,000"
33,DOUGLASS NATIONAL BANK,"KANSAS CITY, MO",MO,Central,1/25/2008,"7,157,000"
34,HUME BANK,"HUME, MO",MO,Central,3/7/2008,"4,085,000"
35,ANB FINANCIAL NATIONAL ASSOCIATION,"BENTONVILLE, AR",AR,South,5/9/2008,"1,029,987,000"
36,"FIRST INTEGRITY BANK, N.A.","STAPLES, MN",MN,Central,5/30/2008,"10,305,000"
37,INDYMAC BANK F.S.B,"PASADENA, CA",CA,West,7/11/2008,"12,233,390,000"
38,FIRST HERITAGE BANK N.A.,"NEWPORT BEACH, CA",CA,West,7/25/2008,"92,139,000"
39,FIRST NATIONAL BANK OF NEVADA,"RENO, NV",NV,West,7/25/2008,"725,138,000"
40,FIRST PRIORITY BANK,"BRADENTON, FL",FL,South,8/1/2008,"95,555,000"
41,THE COLUMBIAN BANK AND TRUST COMPANY,"TOPEKA, KS",KS,Central,8/22/2008,"337,106,000"
42,INTEGRITY BANK,"ALPHARETTA, GA",GA,South,8/29/2008,"471,721,000"
43,SILVER STATE BANK,"HENDERSON, NV",NV,West,9/5/2008,"728,849,000"
44,"AMERIBANK, INC.","NORTHFORK, WV",WV,East,9/19/2008,"38,290,000"
45,WASHINGTON MUTUAL BANK,"HENDERSON, NV",NV,West,9/25/2008,0
46,MAIN STREET BANK,"NORTHVILLE, MI",MI,Central,10/10/2008,"56,318,000"
47,MERIDIAN BANK,"ELDRED, IL",IL,Central,10/10/2008,"16,618,000"
48,ALPHA BANK & TRUST,"ALPHARETTA, GA",GA,South,10/24/2008,"213,402,000"
49,FREEDOM BANK,"BRADENTON, FL",FL,South,10/31/2008,"114,755,000"
50,"FRANKLIN BANK, SSB","HOUSTON, TX",TX,Central,11/7/2008,"687,317,000"
51,SECURITY PACIFIC BANK,"SAN DIEGO, CA",CA,West,11/7/2008,"150,397,000"
52,THE COMMUNITY BANK,"LOGANVILLE, GA",GA,South,11/21/2008,"338,206,000"
53,"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.","NEWPORT BEACH, CA",CA,West,11/21/2008,"197,162,000"
54,PFF BANK & TRUST,"POMONA, CA",CA,West,11/21/2008,"267,384,000"
55,"CITIBANK, NATIONAL ASSOCIATION","LAS VEGAS, NV",NV,West,11/23/2008,0
56,"CITICORP TRUST BANK, FSB","WILMINGTON, DE",DE,East,11/23/2008,0
57,CITIBANK (BANAMEX USA),"CENTURY CITY, CA",CA,West,11/23/2008,0
58,"CITIBANK (SOUTH DAKOTA), N.A.","SIOUX FALLS, SD",SD,Central,11/23/2008,0
59,DEPARTMENT STORES NATIONAL BANK,"SIOUX FALLS, SD",SD,Central,11/23/2008,0
